Number,Dep,Arr,DepTime,ArrTime,ACDB_List,ACDB_List2,AC_ID,Simrate,Price,FlightType,Route,Remarks,Days,limit_pax,limit_cargo,limit_flights,fleet_list,technical_stop
PAA0116,PAWD,PADQ,930,1040,All Aircraft,-1,,1x,158v$,0,WUXAN T262 ODK,,1-3-5-7,-1,-1,9,89479,PANC
PAA0117,PADQ,PAWG,930,1040,All Aircraft,-1,,1x,244v$,0,ODK T262 JOH ALJ A1 SIT SQM,,-2-4-6-,-1,-1,9,89479,"PAKT, PAWD"
PAA0118,PAWG,PADQ,930,1040,All Aircraft,-1,,1x,244v$,0,SQM SIT A1 ALJ JOH T262 ODK,,-2-4-6-,-1,-1,9,89479,"PANC, PAYA"
PAA0119,PADQ,PAKT,930,1040,All Aircraft,-1,,1x,250v$,0,ODK T262 JOH ALJ A1 SIT SQM,,1-3-5-7,-1,-1,9,89479,CYPR
PAA0120,PAKT,PADQ,930,1040,All Aircraft,-1,,1x,250v$,0,SQM SIT A1 ALJ JOH T262 ODK,,1-3-5-7,-1,-1,9,89479,PANC
PAA0121,PADQ,PAVD,930,1040,All Aircraft,-1,,1x,180v$,0,ODK T262 JOH,,-2-4-6-,-1,-1,9,89479,PANC
PAA0122,PAVD,PADQ,930,1040,All Aircraft,-1,,1x,180v$,0,JOH T262 ODK,,-2-4-6-,-1,-1,9,89479,PANC
PAA0123,PADQ,PANI,930,1040,All Aircraft,-1,,1x,186v$,0,ODK Q53 ILI ANI,,1-3-5-7,-1,-1,9,89479,PABE
PAA0124,PANI,PADQ,930,1040,All Aircraft,-1,,1x,186v$,0,ANI ILI Q53 ODK,,1-3-5-7,-1,-1,9,89479,PAKN
PAA0125,PADQ,PAFA,930,1040,All Aircraft,-1,,1x,208v$,0,ODK J125 TED Q43 CAWIN,,-2-4-6-,-1,-1,9,89479,PANC
PAA0126,PAFA,PADQ,930,1040,All Aircraft,-1,,1x,208v$,0,CAWIN Q43 TED J1225 ODK,,-2-4-6-,-1,-1,9,89479,PANC
PAA5101,PAKD,KZB,930,1040,KODI,841,,1x,85v$,0,BAILY V506 KOKOZ,,1-3-5-7,-1,-1,9,89479,PADQ
PAA5102,KZB,PAKD,930,1040,KODI,841,,1x,63v$,0,KOKOZ V506 BAILY,,1-3-5-7,-1,-1,9,89479,
PAA5103,PAKD,AK81,930,1040,KODI,841,,1x,85v$,0,DIRECT,,-2-4-6-,-1,-1,9,89479,PADQ
PAA5104,AK81,PAKD,930,1040,KODI,841,,1x,85v$,0,DIRECT,,-2-4-6-,-1,-1,9,89479,
PAA5105,PAKD,SYB,930,1040,KODI,841,,1x,85v$,0,DIRECT,,1-3-5-7,-1,-1,9,89479,PADQ
PAA5106,SYB,PAKD,930,1040,KODI,841,,1x,85v$,0,DIRECT,,1-3-5-7,-1,-1,9,89479,
PAA5106,PAKD,KMY,930,940,KODI,841,,1x,85v$,0,DIRECT,,-2-4-6-,-1,-1,9,89479,PADQ
PAA5107,KMY,PAKD,930,940,KODI,841,,1x,85v$,0,DIRECT,,-2-4-6-,-1,-1,9,89479,
PAA5108,PAKD,ALZ,930,940,KODI,841,,1x,85v$,0,DIRECT,,1-3-5-7,-1,-1,9,89479,PADQ
PAA5109,ALZ,PAKD,930,940,KODI,841,,1x,85v$,0,DIRECT,,1-3-5-7,-1,-1,9,89479,
PAA5110,PAKD,KKL,930,940,KODI,841,,1x,85v$,0,DIRECT,,-2-4-6-,-1,-1,9,89479,PADQ
PAA5111,KKL,PAKD,930,940,KODI,841,,1x,85v$,0,DIRECT,,-2-4-6-,-1,-1,9,89479,
PAA5112,PAKD,KPY,930,940,KODI,841,,1x,85v$,0,DIRECT,,1-3-5-7,-1,-1,9,89479,PADQ
PAA5113,KPY,PAKD,930,940,KODI,841,,1x,85v$,0,DIRECT,,1-3-5-7,-1,-1,9,89479,
